color;director_name;num_critic_for_reviews;duration;final_budget;movie_title;imdb_score
Color;David Fincher;362.0;166.0;150000000.0;The Curious Case of Benjamin Button ;7.8
Color;Matthew Vaughn;500.0;132.0;160000000.0;X-Men: First Class ;7.8
Color;Francis Lawrence;389.0;137.0;160000000.0;The Hunger Games: Mockingjay - Part 2 ;6.6
Color;Jon Turteltaub;235.0;109.0;150000000.0;The Sorcerer's Apprentice ;6.1
Color;Wolfgang Petersen;231.0;98.0;160000000.0;Poseidon ;5.6
Color;James Bobin;218.0;113.0;170000000.0;Alice Through the Looking Glass ;6.4
Color;Chris Miller;227.0;93.0;160000000.0;Shrek the Third ;6.1
Color;Duncan Jones;275.0;123.0;160000000.0;Warcraft ;7.3
Color;Alan Taylor;474.0;126.0;155000000.0;Terminator Genisys ;6.6
Color;Michael Apted;228.0;113.0;155000000.0;The Chronicles of Narnia: The Voyage of the Dawn Treader ;6.3
 Black and White;Michael Bay;191.0;184.0;140000000.0;Pearl Harbor ;6.1
Color;Michael Bay;396.0;144.0;150000000.0;Transformers ;7.1
Color;Oliver Stone;248.0;206.0;155000000.0;Alexander ;5.5
Color;David Yates;329.0;138.0;150000000.0;Harry Potter and the Order of the Phoenix ;7.5
Color;Mike Newell;295.0;157.0;150000000.0;Harry Potter and the Goblet of Fire ;7.6
Color;Peter Berg;318.0;102.0;150000000.0;Hancock ;6.4
Color;Francis Lawrence;323.0;104.0;150000000.0;I Am Legend ;7.2
Color;Tim Burton;276.0;115.0;150000000.0;Charlie and the Chocolate Factory ;6.7
Color;Brad Bird;318.0;111.0;150000000.0;Ratatouille ;8.0
Color;Christopher Nolan;478.0;128.0;150000000.0;Batman Begins ;8.3
Color;Eric Darnell;167.0;89.0;150000000.0;Madagascar: Escape 2 Africa ;6.7
Color;Shawn Levy;185.0;105.0;150000000.0;Night at the Museum: Battle of the Smithsonian ;5.9
Color;Gavin Hood;350.0;119.0;150000000.0;X-Men Origins: Wolverine ;6.7
Color;Lana Wachowski;245.0;129.0;150000000.0;The Matrix Revolutions ;6.7
Color;Chris Buck;406.0;102.0;150000000.0;Frozen ;7.6
Color;Lana Wachowski;275.0;138.0;150000000.0;The Matrix Reloaded ;7.2
Color;Alan Taylor;486.0;112.0;170000000.0;Thor: The Dark World ;7.1
Color;George Miller;739.0;120.0;150000000.0;Mad Max: Fury Road ;8.1
Color;Ron Howard;298.0;146.0;150000000.0;Angels & Demons ;6.7
Color;Kenneth Branagh;516.0;115.0;150000000.0;Thor ;7.0
Color;Byron Howard;225.0;96.0;150000000.0;Bolt ;6.9
Color;Hoyt Yeatman;145.0;88.0;150000000.0;G-Force ;5.1
Color;Jonathan Liebesman;310.0;99.0;150000000.0;Wrath of the Titans ;5.8
Color;Tim Burton;526.0;113.0;150000000.0;Dark Shadows ;6.2
Color;Christopher McQuarrie;465.0;131.0;150000000.0;Mission: Impossible - Rogue Nation ;7.4
Color;Joe Johnston;357.0;119.0;150000000.0;The Wolfman ;5.8
Color;Steve Hickner;194.0;91.0;150000000.0;Bee Movie ;6.2
Color;Jennifer Yuh Nelson;284.0;90.0;150000000.0;Kung Fu Panda 2 ;7.3
Color;M. Night Shyamalan;280.0;103.0;150000000.0;The Last Airbender ;4.2
Color;J.J. Abrams;310.0;124.0;150000000.0;Mission: Impossible III ;6.9
Color;Roland Emmerich;339.0;131.0;150000000.0;White House Down ;6.4
Color;Simon Wells;132.0;88.0;150000000.0;Mars Needs Moms ;5.4
Color;David Bowers;135.0;85.0;149000000.0;Flushed Away ;6.7
Color;Joe Wright;256.0;111.0;150000000.0;Pan ;5.8
Color;Rob Minkoff;196.0;92.0;145000000.0;Mr. Peabody & Sherman ;6.9
Color;Wolfgang Petersen;220.0;196.0;175000000.0;Troy ;7.2
Color;Eric Darnell;211.0;93.0;145000000.0;Madagascar 3: Europe's Most Wanted ;6.9
 Black and White;Lee Tamahori;264.0;133.0;142000000.0;Die Another Day ;6.1
Color;Paul Feig;464.0;116.0;144000000.00000003;Ghostbusters ;5.5
Color;Michael Bay;167.0;153.0;140000000.0;Armageddon ;6.6
Color;Barry Sonnenfeld;208.0;88.0;140000000.0;Men in Black II ;6.1
Color;Robert Zemeckis;287.0;115.0;150000000.0;Beowulf ;6.3
Color;Alessandro Carloni;210.0;95.0;145000000.0;Kung Fu Panda 3 ;7.2
Color;Brad Bird;432.0;133.0;145000000.0;Mission: Impossible - Ghost Protocol ;7.4
Color;Peter Ramsey;256.0;97.0;145000000.0;Rise of the Guardians ;7.3
Color;Dean Parisot;135.0;90.0;100000000.0;Fun with Dick and Jane ;6.1
Color;Edward Zwick;190.0;154.0;140000000.0;The Last Samurai ;7.7
Color;Ridley Scott;314.0;150.0;140000000.0;Exodus: Gods and Kings ;6.1
Color;J.J. Abrams;518.0;127.0;150000000.0;Star Trek ;8.0
Color;Sam Raimi;291.0;121.0;139000000.0;Spider-Man ;7.3
Color;Dean DeBlois;292.0;102.0;145000000.0;How to Train Your Dragon 2 ;7.9
Color;Alex Proyas;184.0;126.0;140000000.0;Gods of Egypt ;5.5
Color;Rob Cohen;145.0;121.0;135000000.0;Stealth ;5.0
Color;Zack Snyder;451.0;215.0;130000000.0;Watchmen ;7.7
Color;Richard Donner;141.0;127.0;140000000.0;Lethal Weapon 4 ;6.6
Color;Ang Lee;267.0;138.0;137000000.0;Hulk ;5.7
Color;Jon M. Chu;351.0;122.0;130000000.0;G.I. Joe: Retaliation ;5.8
Color;Breck Eisner;163.0;124.0;130000000.0;Sahara ;6.0
Color;Hironobu Sakaguchi;166.0;106.0;137000000.0;Final Fantasy: The Spirits Within ;6.4
Color;Joe Johnston;510.0;124.0;140000000.0;Captain America: The First Avenger ;6.9
Color;Michael Apted;197.0;128.0;135000000.0;The World Is Not Enough ;6.4
Color;Peter Weir;244.0;138.0;150000000.0;Master and Commander: The Far Side of the World ;7.4
Color;Bill Condon;322.0;115.0;120000000.0;The Twilight Saga: Breaking Dawn - Part 2 ;5.5
Color;George Miller;156.0;100.0;135000000.0;Happy Feet 2 ;5.9
Color;Louis Leterrier;354.0;135.0;150000000.0;The Incredible Hulk ;6.8
Color;;21.0;60.0;1500000.0;Miami Vice             ;7.5
Color;Steven Spielberg;252.0;117.0;140000000.0;The BFG ;6.8
Color;Alejandro G. Iñárritu;556.0;156.0;135000000.0;The Revenant ;8.1
Color;David Soren;166.0;96.0;135000000.0;Turbo ;6.5
Color;Gore Verbinski;362.0;107.0;135000000.0;Rango ;7.2
Color;Eric Darnell;153.0;92.0;132000000.0;Penguins of Madagascar ;6.7
Color;Paul Greengrass;329.0;115.0;110000000.0;The Bourne Ultimatum ;8.1
Color;Mark Osborne;266.0;92.0;130000000.0;Kung Fu Panda ;7.6
Color;Peyton Reed;517.0;117.0;130000000.0;Ant-Man ;7.4
Color;Francis Lawrence;502.0;146.0;130000000.0;The Hunger Games: Catching Fire ;7.6
Color;Tim Johnson;165.0;94.0;135000000.0;Home ;6.7
Color;Steven Spielberg;401.0;116.0;132000000.0;War of the Worlds ;6.5
Color;Michael Bay;94.0;147.0;130000000.0;Bad Boys II ;6.6
Color;Chris Miller;246.0;90.0;130000000.0;Puss in Boots ;6.7
Color;Phillip Noyce;330.0;101.0;110000000.0;Salt ;6.4
Color;Darren Aronofsky;434.0;138.0;125000000.0;Noah ;5.8
Color;Steven Spielberg;440.0;107.0;135000000.0;The Adventures of Tintin ;7.4
Color;Alfonso Cuarón;274.0;142.0;130000000.0;Harry Potter and the Prisoner of Azkaban ;7.8
Color;Baz Luhrmann;245.0;165.0;130000000.0;Australia ;6.6
Color;M. Night Shyamalan;349.0;100.0;130000000.0;After Earth ;4.9
Color;Eric Leighton;145.0;82.0;127500000.0;Dinosaur ;6.5
Color;Matt Birch;1.0;103.0;33926477.73271624;Harry Potter and the Deathly Hallows: Part II ;7.5
Color;Shawn Levy;154.0;98.0;127000000.0;Night at the Museum: Secret of the Tomb ;6.2
Color;Tom McGrath;233.0;95.0;130000000.0;Megamind ;7.3
Color;Chris Columbus;258.0;159.0;125000000.0;Harry Potter and the Sorcerer's Stone ;7.5
Color;Robert Schwentke;208.0;96.0;130000000.0;R.I.P.D. ;5.6
Color;Gore Verbinski;271.0;143.0;140000000.0;Pirates of the Caribbean: The Curse of the Black Pearl ;8.1
Color;Matt Birch;4.0;103.0;12929304.632634625;Harry Potter and the Deathly Hallows: Part I ;6.4
Color;Francis Lawrence;403.0;123.0;125000000.0;The Hunger Games: Mockingjay - Part 1 ;6.7
Color;Ron Howard;294.0;174.0;125000000.0;The Da Vinci Code ;6.6
Color;Carlos Saldanha;159.0;101.0;103000000.0;Rio 2 ;6.4
Color;Bryan Singer;289.0;134.0;110000000.0;X-Men 2 ;7.5
Color;Justin Lin;342.0;132.0;125000000.0;Fast Five ;7.3
Color;Guy Ritchie;382.0;129.0;125000000.0;Sherlock Holmes: A Game of Shadows ;7.5
Color;Louis Leterrier;344.0;106.0;125000000.0;Clash of the Titans ;5.8
Color;Paul Verhoeven;196.0;113.0;65000000.0;Total Recall ;7.5
Color;John McTiernan;85.0;102.0;160000000.0;The 13th Warrior ;6.6
Color;Tony Gilroy;436.0;135.0;125000000.0;The Bourne Legacy ;6.7
Color;Joel Schumacher;183.0;125.0;125000000.0;Batman & Robin ;3.7
Color;Ron Howard;175.0;110.0;123000000.0;How the Grinch Stole Christmas ;6.0
Color;Roland Emmerich;239.0;124.0;125000000.0;The Day After Tomorrow ;6.4
Color;John Woo;237.0;123.0;125000000.0;Mission: Impossible II ;6.1
Color;Wolfgang Petersen;231.0;130.0;140000000.0;The Perfect Storm ;6.4
Color;Tim Story;262.0;92.0;130000000.0;Fantastic 4: Rise of the Silver Surfer ;5.6
Color;Ang Lee;552.0;127.0;120000000.0;Life of Pi ;8.0
Color;Mark Steven Johnson;276.0;123.0;110000000.0;Ghost Rider ;5.2
Color;Paul Greengrass;267.0;123.0;120000000.0;Jason Bourne ;7.1
Color;McG;102.0;107.0;120000000.0;Charlie's Angels: Full Throttle ;4.8
Color;Ridley Scott;775.0;124.0;130000000.0;Prometheus ;7.0
Color;Rob Minkoff;71.0;77.0;120000000.0;Stuart Little 2 ;5.4
Color;Neill Blomkamp;476.0;109.0;115000000.0;Elysium ;6.6
Color;David Twohy;207.0;134.0;105000000.0;The Chronicles of Riddick ;6.7
Color;José Padilha;492.0;117.0;100000000.0;RoboCop ;6.2
Color;Lana Wachowski;284.0;135.0;120000000.0;Speed Racer ;6.1
Color;James L. Brooks;168.0;121.0;120000000.0;How Do You Know ;5.3
Color;James Mangold;283.0;117.0;117000000.0;Knight and Day ;6.3
Color;Joseph Kosinski;539.0;124.0;120000000.0;Oblivion ;7.0
Color;George Lucas;359.0;140.0;113000000.0;Star Wars: Episode III - Revenge of the Sith ;7.6
Color;George Lucas;284.0;142.0;115000000.0;Star Wars: Episode II - Attack of the Clones ;6.7
Color;Pete Docter;250.0;92.0;115000000.0;Monsters, Inc. ;8.1
Color;James Mangold;440.0;138.0;120000000.0;The Wolverine ;6.7
Color;George Lucas;320.0;136.0;115000000.0;Star Wars: Episode I - The Phantom Menace ;6.5
Color;Kirk De Micco;257.0;98.0;135000000.0;The Croods ;7.3
Color;Frédéric Forestier;33.0;116.0;83662800.0;Asterix at the Olympic Games ;5.1
Color;John Woo;152.0;153.0;115000000.0;Windtalkers ;6.0
Color;Cedric Nicolas-Troyan;231.0;120.0;115000000.0;The Huntsman: Winter's War ;6.1
Color;Jonathan Liebesman;348.0;101.0;125000000.0;Teenage Mutant Ninja Turtles ;5.9
Color;Alfonso Cuarón;738.0;91.0;100000000.0;Gravity ;7.8
Color;Roger Donaldson;93.0;108.0;116000000.0;Dante's Peak ;5.8
Color;Dave Green;181.0;112.0;135000000.0;Teenage Mutant Ninja Turtles: Out of the Shadows ;6.3
Color;Josh Trank;369.0;100.0;120000000.0;Fantastic Four ;4.3
Color;Shawn Levy;179.0;108.0;110000000.0;Night at the Museum ;6.4
Color;Brad Peyton;358.0;114.0;110000000.0;San Andreas ;6.1
Color;Roger Spottiswoode;160.0;119.0;110000000.0;Tomorrow Never Dies ;6.5
Color;Roland Emmerich;192.0;142.0;110000000.0;The Patriot ;7.1
Color;Steven Soderbergh;198.0;125.0;110000000.0;Ocean's Twelve ;6.4
Color;Doug Liman;233.0;126.0;120000000.0;Mr. & Mrs. Smith ;6.5
Color;Robert Schwentke;263.0;119.0;110000000.0;Insurgent ;6.3
 Black and White;Martin Scorsese;267.0;170.0;110000000.0;The Aviator ;7.5
Color;Rob Letterman;184.0;85.0;112000000.0;Gulliver's Travels ;4.9
Color;Michel Gondry;447.0;119.0;120000000.0;The Green Hornet ;5.8
Color;;29.0;60.0;16316449.039751109;The A-Team             ;7.6
Color;Noam Murro;366.0;102.0;110000000.0;300: Rise of an Empire ;6.2
Color;Raja Gosnell;172.0;103.0;110000000.0;The Smurfs ;5.5
Color;Will Finn;104.0;76.0;110000000.0;Home on the Range ;5.4
Color;Robert Schwentke;181.0;120.0;110000000.0;Allegiant ;5.8
Color;Shawn Levy;327.0;127.0;110000000.0;Real Steel ;7.1
Color;Raja Gosnell;125.0;105.0;105000000.0;The Smurfs 2 ;5.4
Color;Jan de Bont;79.0;121.0;160000000.0;Speed 2: Cruise Control ;3.7
Color;Gavin Hood;326.0;114.0;110000000.0;Ender's Game ;6.7
Color;Len Wiseman;354.0;129.0;110000000.0;Live Free or Die Hard ;7.2
Color;Peter Jackson;297.0;171.0;93000000.0;The Lord of the Rings: The Fellowship of the Ring ;8.8
Color;Frank Coraci;188.0;120.0;110000000.0;Around the World in 80 Days ;5.8
 Black and White;Michael Mann;174.0;165.0;107000000.0;Ali ;6.8
Color;Bo Welch;109.0;82.0;109000000.0;The Cat in the Hat ;3.8
Color;Alex Proyas;225.0;115.0;120000000.0;I, Robot ;7.1
Color;Ridley Scott;239.0;194.0;130000000.0;Kingdom of Heaven ;7.2
Color;Rob Minkoff;101.0;84.0;133000000.0;Stuart Little ;5.9
Color;Ron Clements;228.0;97.0;105000000.0;The Princess and the Frog ;7.1
Color;Ridley Scott;568.0;151.0;108000000.0;The Martian ;8.1
;Christopher Barnard;110.0;22.0;10988870.303068988;10,000 B.C.             ;7.2
Color;Michael Bay;257.0;136.0;126000000.0;The Island ;6.9
Color;Peter Chelsom;62.0;104.0;90000000.0;Town & Country ;4.4
Color;Dominic Sena;175.0;127.0;90000000.0;Gone in Sixty Seconds ;6.5
Color;Ridley Scott;265.0;171.0;103000000.0;Gladiator ;8.5
Color;Steven Spielberg;252.0;145.0;102000000.0;Minority Report ;7.7
Color;Chris Columbus;232.0;174.0;100000000.0;Harry Potter and the Chamber of Secrets ;7.4
 Black and White;Martin Campbell;400.0;144.0;150000000.0;Casino Royale ;8.0
Color;Tim Burton;230.0;119.0;100000000.0;Planet of the Apes ;5.7
Color;James Cameron;210.0;153.0;102000000.0;Terminator 2: Judgment Day ;8.5
Color;Michael Mann;357.0;140.0;100000000.0;Public Enemies ;7.0
Color;Ridley Scott;300.0;176.0;100000000.0;American Gangster ;7.8
Color;James Cameron;94.0;141.0;115000000.0;True Lies ;7.2
Color;Tony Scott;267.0;106.0;100000000.0;The Taking of Pelham 1 2 3 ;6.4
Color;Paul Weitz;180.0;98.0;100000000.0;Little Fockers ;5.5
Color;Adam McKay;265.0;116.0;100000000.0;The Other Guys ;6.7
Color;Chuck Russell;81.0;115.0;100000000.0;Eraser ;6.1
Color;Quentin Tarantino;765.0;165.0;100000000.0;Django Unchained ;8.5
Color;Gary Trousdale;80.0;91.0;100000000.0;The Hunchback of Notre Dame ;6.9
Color;Mark Dindal;141.0;78.0;100000000.0;The Emperor's New Groove ;7.3
Color;Simon West;383.0;103.0;100000000.0;The Expendables 2 ;6.7
Color;Jon Turteltaub;193.0;131.0;100000000.0;National Treasure ;6.9
 Black and White;Stefen Fangmeier;170.0;104.0;100000000.0;Eragon ;5.1
Color;Spike Jonze;333.0;101.0;100000000.0;Where the Wild Things Are ;6.8
Color;Chris Wedge;203.0;102.0;100000000.0;Epic ;6.7
Color;Florian Henckel von Donnersmarck;321.0;103.0;100000000.0;The Tourist ;6.0
Color;Peter Hyams;174.0;121.0;100000000.0;End of Days ;5.7
Color;Edward Zwick;166.0;143.0;100000000.0;Blood Diamond ;8.0
Color;Martin Scorsese;606.0;240.0;100000000.0;The Wolf of Wall Street ;8.2
Color;Joel Schumacher;144.0;121.0;100000000.0;Batman Forever ;5.4
Color;Paul Verhoeven;192.0;129.0;105000000.0;Starship Troopers ;7.2
Color;Tom Tykwer;511.0;172.0;102000000.0;Cloud Atlas ;7.5
Color;Zack Snyder;188.0;101.0;80000000.0;Legend of the Guardians: The Owls of Ga'Hoole ;7.0
Color;Pitof;212.0;87.0;100000000.0;Catwoman ;3.3
Color;Brett Ratner;245.0;101.0;100000000.0;Hercules ;6.0
Color;Ron Clements;127.0;95.0;140000000.0;Treasure Planet ;7.1
Color;Brad Silberling;167.0;102.0;100000000.0;Land of the Lost ;5.4
Color;Patrick Hughes;320.0;131.0;90000000.0;The Expendables 3 ;6.1
Color;Ericson Core;163.0;114.0;105000000.0;Point Break ;5.3
Color;Lawrence Guterman;78.0;94.0;84000000.0;Son of the Mask ;2.2
Color;Ron Howard;289.0;122.0;100000000.0;In the Heart of the Sea ;7.0
Color;Ron Underwood;66.0;95.0;100000000.0;The Adventures of Pluto Nash ;3.8
Color;Paul Greengrass;266.0;115.0;100000000.0;Green Zone ;6.9
Color;Steve Martino;208.0;88.0;99000000.0;The Peanuts Movie ;7.2
Color;David Mamet;97.0;110.0;10000000.0;The Spanish Prisoner ;7.3
Color;Stephen Sommers;202.0;130.0;98000000.0;The Mummy Returns ;6.3
Color;Martin Scorsese;233.0;216.0;100000000.0;Gangs of New York ;7.5
Color;Yimou Zhang;136.0;146.0;94000000.0;The Flowers of War ;7.6
Color;Ash Brannon;154.0;85.0;100000000.0;Surf's Up ;6.8
Color;Frank Oz;169.0;93.0;90000000.0;The Stepford Wives ;5.2
Color;Ridley Scott;200.0;152.0;92000000.0;Black Hawk Down ;7.7
Color;Jay Roach;255.0;85.0;95000000.0;The Campaign ;6.2
Color;Luc Besson;173.0;126.0;93000000.0;The Fifth Element ;7.7
Color;Michael Patrick King;221.0;146.0;100000000.0;Sex and the City 2 ;4.3
Color;Bibo Bergeron;82.0;89.0;95000000.0;The Road to El Dorado ;6.9
Color;Steve Martino;233.0;88.0;95000000.0;Ice Age: Continental Drift ;6.6
Color;Kenneth Branagh;343.0;105.0;95000000.0;Cinderella ;7.0
Color;Peter Jackson;308.0;135.0;65000000.0;The Lovely Bones ;6.7
Color;Andrew Stanton;301.0;100.0;94000000.0;Finding Nemo ;8.2
Color;Peter Jackson;328.0;192.0;94000000.0;The Lord of the Rings: The Return of the King ;8.9
Color;Peter Jackson;294.0;172.0;94000000.0;The Lord of the Rings: The Two Towers ;8.7
Color;Sergey Bodrov;175.0;102.0;95000000.0;Seventh Son ;5.5
Color;Simon West;199.0;100.0;115000000.0;Lara Croft: Tomb Raider ;5.7
Color;Wally Pfister;355.0;119.0;100000000.0;Transcendence ;6.3
Color;Joe Johnston;198.0;92.0;93000000.0;Jurassic Park III ;5.9
Color;Rupert Wyatt;529.0;105.0;93000000.0;Rise of the Planet of the Apes ;7.6
Color;Mark Waters;198.0;107.0;90000000.0;The Spiderwick Chronicles ;6.6
Color;John Moore;412.0;101.0;92000000.0;A Good Day to Die Hard ;5.3
Color;John Lee Hancock;106.0;137.0;107000000.0;The Alamo ;6.0
